"no","kode_butir","nama_butir","ak","satuan"
"1","1","UNSUR UTAMA","",""
"2","11","Melakukan deteksi dan identifikasi OPT/OPTK/OPTP secara morfologis untuk tungau dan pseudococcus","0.08","Dokumen hasil deteksi dan identifikasi OPT/OPTK/OPTP secara morfologis untuk tungau dan pseudococcus"
"3","12","Melakukan penyeliaan pelaksanaan deteksi dan identifikasi OPT/OPTK/OPTP secara morfologis untuk ungau dan pseudococcus","0.08","Dokumen penyeliaan pelaksanaan deteksi dan identifikasi OPT/OPTK/OPTP secara morfologis untuk tungau"
"4","13","Melakukan deteksi dan identifikasi OPT/OPTK/OPTP secara genetis","0.2","Laporan hasil deteksi dan identifikasi OPT/OPTK/OPTP secara genetis"
"5","14","Melakukan penyeliaan pelaksanaan deteksi dan identifikasi OPT/OPTK/OPTP secara genetis","0.05","Laporan Hasil penyeliaan pelaksanaan deteksi dan identifikasi OPT/OPTK/OPTP secara genetis"
"6","15","Melakukan analisis hasil tindakan karantina tumbuhan","0.02","Dokumen hasil analisis hasil tindakan karantina tumbuhan"
"7","16","Melakukan verifikasi kawasan karantina untuk pencegahan penyebaran dan/atau eradikasi OPT","0.27","Laporan hasil verifikasi kawasan karantina untuk pencegahan penyebaran dan/atau eradikasi OPT"
"8","17","Melakukan peninjauan lapang untuk pelaksanaan emergency action program/adanya laporan temuan OPTK","0.27","Laporan hasil peninjauan lapang untuk pelaksanaan emergency action program/adanya laporan temuan OPT"
"9","18","Melakukan diseminasi hasil uji terap tindakan karantina kepada lingkup Badan Karantina Pertanian dan pihak lain;","0.68","Laporan hasil desiminasi hasil uji terap tindakan karantina kepada lingkup Badan Karantina Pertanian"
"10","19","Melakukan pembahasan kebijakan dan permasalahan teknis perkarantinaan tumbuhan","0.27","Laporan pembahasan kebijakan dan permasalahan teknis perkarantinaan tumbuhan"
"11","1a","Melakukan bimbingan teknis perkarantinaan tumbuhan","0.27","Laporan hasil bimbingan teknis perkarantinaan tumbuhan"
