"no","kode_butir","nama_butir","ak","satuan"
"1","1","UNSUR UTAMA","",""
"2","11","Melakukan deteksi dan identifikasi OPT/OPTK/OPTP secara morfologis untuk gulma dan nematoda","0.06","Dokumen hasil deteksi dan identifikasi OPT/OPTK/OPTP secara morfologis untuk gulma dan nematoda"
"3","12","Melakukan penyeliaan pelaksanaan deteksi dan identifikasi OPT/OPTK/OPTP secara morfologis untuk gulma dan nematoda","0.06","Dokumen penyeliaan pelaksanaan deteksi dan identifikasi OPT/OPTK/OPTP secara morfologis untuk gulma "
"4","13","Melakukan deteksi dan identifikasi OPT/OPTK/OPTP secara serologis","0.135","Dokumen hasil deteksi dan identifikasi OPT/OPTK/OPTP secara serologis"
"5","14","Melakukan penyeliaan pelaksanaan deteksi dan identifikasi OPT/OPTK/OPTP secara serologis","0.03","Laporan penyeliaan pelaksanaan deteksi dan identifikasi OPT/OPTK/OPTP secara serologis"
"6","15","Melakukan analisis hasil tindakan karantina tumbuhan","0.01","Dokumen hasil analisis hasil tindakan karantina tumbuhan"
"7","16","Melakukan pengawasan lalulintas media pembawa OPTK dan/atau PSAT dan/atau IAS dan/atau Produk Rekayasa Genetika/agens hayati/kemasan","0.04","Laporan hasil pengawasan lalulintas media pembawa OPTK dan/atau PSAT dan/atau IAS dan/atau Produk Re"
"8","17","Melakukan analisis persyaratan administrasi perkarantinaan tumbuhan","0.005","Dokumen hasil analisis persyaratan adiministrasi perkarantinaan tumbuhan"
"9","18","Melakukan pembuatan rekomendasi metode pemusnahan/metode pengambilan dan jumlah sampel MP OPTK/PSAT/ IAS/ Produk Rekayasa Genetika/ agens hayati/ benda lain/ pembungkus /sampah","0.075","Dokumen rekomendasi metode dan jumlah sampel MP OPTK/PSAT/ IAS/ Produk Rekayasa Genetika/ agens haya"
"10","19","Melakukan analisis dan evaluasi bahan penetapan inline inspection / bahan Pre Shipment Inspection)/bahan Pest Free production Site)/bahan Pre clearence/bahan Pest Free Area/bahan sistem pengawasan keamanan hayati nabati/bahan registrasi laboratorium penguji keamanan pangan/ bahan ekivalensi tindakan perlakuan karantina tumbuhan","0.075","Laporan hasil analisis dan evaluasi bahan  penetapan  inline  inspection  / bahan Pre Shipment Inspe"
"11","1a","Melakukan analisis data pelaksanaan tindakan  pengasingan dan pengamatan MP","0.075","Laporan analisis data pelaksanaan tindakan pengasingan dan pengamatan MP"
"12","1b","Melakukan Pengkajian dan analisis persyaratan ekspor negara tujuan","0.04","Laporan pengkajian persyaratan ekspor negara tujuan"
"13","1c","Melakukan verifikasi lapang untuk pemenuhan persyaratan karantina tumbuhan","0.18","Laporan verifikasi lapang untuk pemenuhan persyaratan karantina tumbuhan"
"14","1d","Melakukan analisis / evaluasi bahan penetapan kawasan karantina","0.18","Laporan hasil analisis / evaluasi bahan penetapan kawasan karantina"
"15","1e","Melakukan diseminasi hasil uji terap tindakan karantina kepada lingkup Badan Karantina Pertanian dan pihak lain;","0.45","Laporan hasil desiminasi hasil uji terap tindakan karantina kepada lingkup Badan Karantina Pertanian"
"16","1f","Melakukan pembahasan kebijakan dan permasalahan teknis perkarantinaan tumbuhan","0.18","Laporan pembahasan kebijakan dan permasalahan teknis perkarantinaan tumbuhan"
"17","1g","Melakukan bimbingan teknis perkarantinaan tumbuhan","0.18","Laporan hasil bimbingan teknis perkarantinaan tumbuhan"
"18","1h","Melakukan penyiapan bahan kebijakan perkarantinaan tumbuhan dan keamanan hayati nabati","0.075","Bahan kebijakan perkarantinaan tumbuhan dan keamanan hayati nabati"
"19","1i","Melakukan penyusunan rencana kerja (proposal) untuk pengembangan metode tindakan karantina tumbuhan;","0.675","Rencana kerja (proposal) untuk pengembangan metode tindakan karantina tumbuhan;"
"20","1j","Melakukan uji profesiensi/ uji banding;","0.675","Laporan hasil uji profesiensi/ uji banding;"
"21","1k","Melakukan penyusunan manual/ juklak/ juknis/ pedoman/ SOP/ Instruksi Kerja/ Sistem Manajemen Mutu perkarantinaan tumbuhan","0.36","Manual/ juklak/ juknis/ pedoman/ SOP/ Instruksi Kerja/ Sistem Manajemen Mutu perkarantinaan tumbuhan"
"22","1l","Melakukan perbanyakan OPT/OPTK/OPTP sebagai bahan pengujian","2","Laporan hasil perbanyakan OPT/OPTK/OPTP sebagai bahan pengujian"
"23","1m","Melakukan validasi metode pengujian OPTK dan/atau PSAT dan/atau IAS dan/atau Produk Rekayasa Genetika","0.45","Laporan hasil validasi metode pengujian OPTK dan/atau PSAT dan/atau IAS dan/atau Produk Rekayasa Gen"
"24","1n","Melakukan uji terap metode tindakan karantina;","5","Laporan hasil uji terap metode tindakan karantina;"
"25","1o","Melakukan uji coba metode karantina tumbuhan untuk pengujian kesehatan MP OPTK;","1.45","Laporan hasil uji coba metode karantina tumbuhan untuk pengujian kesehatan MP OPTK;"
"26","1p","Melakukan verifikasi kawasan karantina (Quarantine Area) untuk pencegahan penyebaran dan/atau eradikasi OPT","0.27","Laporan hasil verifikasi kawasan karantina (Quarantine Area) untuk pencegahan penyebaran dan/atau er"
"27","1q","Melakukan analisis risiko OPT/ IAS/ agens hayati/Produk Rekayasa Genetik/ PSAT;","2","Laporan hasil analisis risiko OPT/ IAS/ agens hayati/Produk Rekayasa Genetik/ PSAT;"
"28","1r","Melakukan pembuatan koleksi OPT/OPTK/OPTP/IAS/ agen hayati secara komplek;","0.135","Koleksi OPT/OPTK/OPTP, IAS/ agens hayati secara komplek;"
"29","1s","Melakukan pengujian keamanan agens hayati arthropoda (predator/ parasitoid/ pemakan gulma/ penyerbuk), mikroorganisme dan/atau entomopatogen untuk tindakan karantina tumbuhan;","3","Laporan hasil pengujian keamanan agens hayati arthropoda (predator/parasitoid/pemakan gulma/penyerbu"
"30","1t","Melakukan perencanaan/ pengkajian/verifikasi daerah sebar OPTK hasil pemantauan","0.075","Laporan hasil perencanaan/ pengkajian/verifikasi daerah sebar OPTK hasil pemantauan"
"31","1u","Melakukan analisis data hasil pemantauan OPT/OPTK/OPTP","0.075","Laporan analisis data hasil pemantauan OPT/OPTK/OPTP"
"32","1v","Melakukan studi kelayakan lokasi, tempat dan fasilitas pelaksanaan tindakan karantina tumbuhan","0.225","Laporan hasil studi kelayakan lokasi, tempat dan fasilitas pelaksanaan tindakan karantina tumbuhan"
"33","1w","Melakukan tindakan karantina tumbuhan terhadap MP OPTK yang akan dimasukan kedalam wilayah negara RI di negara asal atau negara transit (Pre Shipment Inspection)","1.05","Laporan hasil tindakan karantina tumbuhan terhadap MP OPTK yang akan dimasukan kedalam wilayah negar"
"34","1x","Melakukan analisis dan evaluasi hasil penilaian kesesuaian tindakan karantina tumbuhan yang dilaksanakan oleh pihak ketiga","0.075","Laporan hasil analisis dan evaluasi hasil penilaian kesesuaian tindakan karantina tumbuhan yang dila"
"35","1X","Menjadi saksi ahli dibidang perkarantinaan tumbuhan;","0.27","Laporan sebagai saksi ahli dibidang perkarantinaan tumbuhan;"
"36","1y","Melakukan uji kompetensi terhadap petugas karantina tumbuhan dan/atau pihak ketiga","0.18","Laporan hasil uji kompetensi terhadap petugas karantina tumbuhan dan/atau pihak ketiga"
"37","1Y","Melakukan pengumpulan bahan keterangan (pulbaket) penyelidikan terhadap adanya indikasi pelanggaran peraturan perundangan Karantina Tumbuhan","0.72","bahan keterangan penyelidikan terhadap adanya indikasi pelanggaran peraturan perundangan Karantina T"
"38","1z","Melakukan penyidikan terhadap pelanggaran peraturan perundangan Karantina tumbuhan","0.72","Laporan hasil penyidikan terhadap pelanggaran peraturan perundangan Karantina tumbuhan"
