"no","kode_butir","nama_butir","ak","satuan"
"1","1","UNSUR UTAMA","",""
"2","11","Melakukan deteksi dan identifikasi OPT/OPTK/OPTP secara morfologis untuk serangga dan cendawan","0.03","Laporan hasil deteksi dan identifikasi OPT/OPTK/OPTP secara morfologis untuk serangga dan cendawan;"
"3","12","Melakukan penyeliaan pelaksanaan deteksi dan identifikasi OPT/OPTK/OPTP secara morfologis untuk serangga dan cendawan","0.03","Laporan penyeliaan pelaksanaan deteksi dan identifikasi OPT/OPTK/OPTP secara morfologis untuk serang"
"4","13","Melakukan analisis data operasional bulanan tindakan karantina tumbuhan dan keamanan hayati nabati;","0.04","Laporan hasil analisis data operasional bulanan tindakan karantina tumbuhan dan keamanan hayati naba"
"5","14","Melakukan analisis hasil tindakan karantina tumbuhan","0.01","Dokumen hasil analisis hasil tindakan karantina tumbuhan"
"6","15","Melakukan pengawasan lalulintas media pembawa OPTK dan/atau PSAT dan/atau IAS dan/atau Produk Rekayasa Genetika/agens hayati/kemasan","0.02","Laporan hasil pengawasan lalulintas media pembawa OPTK dan/atau PSAT dan/atau IAS dan/atau Produk Re"
"7","16","Melakukan analisis persyaratan administrasi perkarantinaan tumbuhan","0.01","Dokumen hasil analisis persyaratan adiministrasi perkarantinaan tumbuhan"
"8","17","Melakukan diseminasi hasil uji terap tindakan karantina dilingkungan Badan Karantina Pertanian dan pihak lain;","0.23","Laporan hasil desiminasi hasil uji terap tindakan karantina dilingkungan Badan Karantina Pertanian d"
"9","18","Melakukan pembuatan deskripsi OPTK/OPTP, foto, grafik, brosur, leaflet, bahan tayang dan pest data sheet.","0.07","Deskripsi OPTK/OPTP, foto, grafik, brosur, leaflet, bahan tayang dan pest data sheet"
"10","19","Melakukan pembahasan kebijakan dan permasalahan teknis perkarantinaan tumbuhan","0.09","Laporan pembahasan kebijakan dan permasalahan teknis perkarantinaan tumbuhan"
"11","1a","Melakukan bimbingan teknis perkarantinaan tumbuhan","0.09","Laporan hasil bimbingan teknis perkarantinaan tumbuhan"
"12","1b","Melakukan perbanyakan OPT/OPTK/OPTP sebagai bahan pengujian","1","Laporan hasil perbanyakan OPT/OPTK/OPTP sebagai bahan pengujian"
"13","1c","Melakukan analisis risiko OPT/ IAS/ agens hayati/Produk Rekayasa Genetik/ PSAT;","1","Laporan hasil analisis risiko OPT/ IAS/ agens hayati/Produk Rekayasa Genetik/ PSAT;"
"14","1d","Melakukan pengawasan/monitoring terhadap pangan segar asal tumbuhan","0.07","Laporan hasil pengawasan/monitoring terhadap pangan segar asal tumbuhan"
"15","1e","Melakukan pengujian kemurnian agens hayati arthropoda (predator/ parasitoid/ pemakan gulma/ penyerbuk), mikroorganisme dan/atau entomopatogen untuk tindakan karantina tumbuhan","0.18","Laporan hasil pengujian kemurnian agens hayati arthropoda (predator/ parasitoid/ pemakan gulma/ peny"
"16","1f","Melakukan pembuatan peta daerah sebar OPT/OPTK/OPTP;","0.04","Laporan hasil pembuatan peta daerah sebar OPT/OPTK/OPTP;"
"17","1g","Melakukan pemantauan daerah sebar OPT/OPTK/OPTP;","0.23","Laporan hasil pemantauan daerah sebar OPT/OPTK/OPTP;"
"18","1h","Melakukan studi kelayakan lokasi, tempat dan fasilitas pelaksanaan tindakan karantina tumbuhan","0.11","Laporan hasil studi kelayakan lokasi, tempat dan fasilitas pelaksanaan tindakan karantina tumbuhan"
"19","1i","Melakukan verifikasi/audit/penilaian pada pihak ketiga pelaksana tindakan karantina tumbuhan","0.12","Laporan hasil verifikasi/audit/penilaian pihak ketiga pelaksana tindakan karantina tumbuhan"
"20","2","PENGEMBANGAN PROFESI","",""
"21","2A","Perolehan ijazah/gelar pendidikan formal sesuai dengan bidang tugas JF","",""
"22","2A0","Memperoleh ijasah sesuai dengan bidang tugas JF","","Ijazah/Gelar"
"23","2B","Pembuatan Karya Tulis / Karya Ilmiah di bidang JF","",""
"24","2B1","Membuat karya tulis/karya ilmiah hasil penelitian/pengkajian/ survei/evaluasi di bidang JF yang dipublikasikan:","",""
"25","2B1a","Dalam buku/majalah ilmiah internasional yang terindek","20","Jurnal/Buku"
"26","2B1b","Dalam buku/majalah ilmiah nasional terakreditasi","12.5","Jurnal/Buku"
"27","2B1c","dalam buku/majalah ilmiah yang diakui organisasi profesi dan Instansi Pembina","6","Jurnal/Buku/Naskah"
"28","2B2","Membuat karya tulis/karya ilmiah hasil penelitian/pengkajian/ survei/evaluasi di bidang JF yang tidak dipublikasikan:","",""
"29","2B2a","dalam bentuk buku","8","Buku"
"30","2B2b","dalam bentuk majalah ilmiah","4","Naskah"
"31","2B3","Membuat karya tulis/karya ilmiah berupa tinjauan atau ulasan ilmiah hasil gagasan sendiri di bidang JF yang dipublikasikan:","",""
"32","2B3a","dalam bentuk buku yang diterbitkan dan diedarkan secara nasional","8","Buku"
"33","2B3b","dalam majalah ilmiah yang diakui organisasi profesi dan Instansi Pembina","4","Naskah"
