"no","kode_butir","nama_butir","ak","satuan"
"1","1","UNSUR UTAMA","",""
"2","11","Melakukan pembahasan kebijakan dan permasalahan teknis perkarantinaan tumbuhan dan keamanan hayati nabati","0.36","Laporan pembahasan kebijakan dan permasalahan teknis perkarantinaan tumbuhan"
"3","12","Melakukan bimbingan teknis perkarantinaan tumbuhan","0.36","Laporan hasil bimbingan teknis perkarantinaan tumbuhan"
"4","13","Melakukan penyusunan manual/ juklak/ juknis/ pedoman/ SOP/ Instruksi Kerja/ Sistem Manajemen Mutu perkarantinaan tumbuhan","0.72","Manual/ juklak/ juknis/ pedoman/ SOP/ Instruksi Kerja/ Sistem Manajemen Mutu perkarantinaan tumbuhan"
"5","14","Melakukan penyusunan naskah tehnis pertimbangan/ saran/ rekomendasi perkarantinaan tumbuhan dan keamanan hayati nabati sebagai bahan kebijakan pimpinan;","0.9","Naskah tehnis pertimbangan/ saran/ rekomendasi perkarantinaan tumbuhan dan keamanan hayati nabati se"
"6","15","Melakukan pengkajian standar Karantina tumbuhan dan keamanan hayati nabati tingkat nasional/ regional dan/ atau Internasional;","0.36","Laporan hasil pengkajian standar Karantina tumbuhan dan keamanan hayati nabati tingkat nasional/ reg"
"7","16","Melakukan penyusunan konsep naskah akademik dibidang Karantina tumbuhan dan keamanan hayati nabati;","4","Konsep naskah akademik dibidang Karantina tumbuhan dan keamanan hayati nabati;"
"8","17","Melakukan penyusunan/revisi konsep standar Karantina tumbuhan dan keamanan hayati nabati tingkat nasional/ regional dan/atau Internasional","2.45","konsep/hasil revisi standar Karantina tumbuhan dan pengawasan keamanan hayati nabati tingkat nasiona"
"9","18","Melakukan pengkajian untuk pengembangan perkarntinaan tumbuhan antar area/perbatasan darat/ bilateral/regional/Internasional","0.54","rekomendasi hasil kajianpengembangan perkarantinaan tumbuhan antar area/perbatasan darat/ bilateral/"
"10","19","Melakukan pengkajian untuk pengembangan sistem kelembagaan dan perundangan perkarantinaan tumbuhan","0.54","rekomendasi hasil kajianpengembangan sistem kelembagaan dan perundangan perkarantinaan tumbuhan"
"11","1a","Melakukan pengkajian untuk evaluasi efektifitas/ efisiensi pelatihan/manual pedoman perkarantinaan tumbuhan","0.54","rekomendasi hasil kajian untuk evaluasi efektifitas/ efisiensi pelatihan/manual pedoman perkarantina"
"12","1b","Melakukan penyusunan sistem modeling perkarantinaan tumbuhan/biosecuriti/cegah tangkal bioterorism yang lebih efektif dan efisien","0.54","rekomendasi konsep sistem modeling perkarantinaan tumbuhan/biosecurity /cegah tangkal bioterorism ya"
"13","1c","Melakukan analisis efektifitas/ evaluasi dampak kebijakan /skenario kebijakan/peramalan dampak kebijakan perperkartinaan tumbuhan pra dan pasca implementasi","0.54","rekomendasi hasil analisis efektifitas/evaluasi dampak kebijakan/skenario kebijakan/peramalan dampak"
"14","1d","Membuat konsep rencana strategis Perkarantinaan Tumbuhan jangka panjang","0.54","Konsep rencana strategis Perkarantinaan Tumbuhan jangka panjang"
"15","1e","Melakukan kajian membuat projek edukasi jangka panjang dalam rangka public awareness tentang perkarantinaan tumbuh","0.54","Hasil kajian membuat projek edukasi jangka panjang dalam rangka public awarnes tentang perkarantinaa"
"16","1f","Melakukan analisis dan kajian pengaruh sosio kultural/ dampak psikologis/ ekonomi makro terhadap penerapan peraturan dan kebijakan perkarantinaan tumbuhan","0.54","Kajian pengaruh sosio kultural/ dampak psikologis/ ekonomi makro terhadap penerapan peraturan dan ke"
"17","1g","Melakukan penyusunan strategi perkarantinaan tumbuhan dalam rangka mitigasi risiko OPTK/OPTP/market akses/ cegah tangkal penyebaran OPTK/OPTP/ biosecurity/ bioterorism","0.54","Draft strategi perkarantinaan tumbuhan dalam rangka mitigasi risiko OPTK/OPTP/market akses/ cegah ta"
"18","1h","Melakukan analisis dan kajian kebijakan perkarantinaan tumbuhan","0.54","Hasil analisis dan kajian kebijakan perkarantinaan tumbuhan"
"19","1i","Melakukan penyusunan standar tingkat perlindungan yang memadai (appropriate level of protection/ALOP) perkarantinaan tumbuhan dan keamanan hayati nabati","4","Standar tingkat perlindungan yang memadai (appropriate level of protection/ALOP) perkarantinaan tumb"
"20","1j","Melakukan analisis risiko OPT/ IAS/ agens hayati/Produk Rekayasa Genetik/ PSAT;","4","Laporan hasil analisis risiko OPT/ IAS/ agens hayati/Produk Rekayasa Genetik/ PSAT;"
"21","1k","Melakukan analisis Dampak ekonomi OPTK/OPTP","2.45","Laporan hasil analisis Dampak ekonomi OPTK/OPTP"
"22","1l","Melakukan tindakan karantina tumbuhan terhadap MP OPTK yang akan dimasukan kedalam wilayah negara RI di negara asal atau negara transit (Pre Shipment Inspection)","2.1","Laporan hasil tindakan karantina tumbuhan terhadap MP OPTK yang akan dimasukan kedalam wilayah negar"
"23","1m","Melakukan analisis hasil verifikasi penetapan inline inspection/Pest Free production Site/Pre clearence/Pest Free Area","0.54","Laporan hasil analisis hasil verifikasi penetapan inline inspection/Pest Free production Site/Pre cl"
"24","1n","Melakukan analisis dan evaluasi hasil kesesuaian tindakan karantina tumbuhan yang dilaksanakan oleh pihak ketiga","0.54","Laporan hasil analisis dan evaluasi hasil kesesuaian tindakan karantina tumbuhan yang dilaksanakan o"
"25","1o","Menjadi saksi ahli dibidang perkarantinaan tumbuhan;","0.54","Laporan sebagai saksi ahli dibidang perkarantinaan tumbuhan;"
"26","1p","Melakukan uji kompetensi dalam rangka pelaksanaan tindakan karantina tumbuhan oleh petugas karantina tumbuhan dan/atau oleh pihak ketiga","0.36","Laporan hasil uji kompetensi dalam rangka pelaksanaan tindakan karantina tumbuhan oleh petugas karan"
"27","2","PENGEMBANGAN PROFESI","",""
"28","2A","Perolehan ijazah/gelar pendidikan formal sesuai dengan bidang tugas JF","",""
"29","2A0","Memperoleh ijasah sesuai dengan bidang tugas JF","","Ijazah/Gelar"
"30","2B","Pembuatan Karya Tulis / Karya Ilmiah di bidang JF","",""
"31","2B1","Membuat karya tulis/karya ilmiah hasil penelitian/pengkajian/ survei/evaluasi di bidang JF yang dipublikasikan:","",""
"32","2B1a","Dalam buku/majalah ilmiah internasional yang terindek","20","Jurnal/Buku"
"33","2B1b","Dalam buku/majalah ilmiah nasional terakreditasi","12.5","Jurnal/Buku"
"34","2B1c","dalam buku/majalah ilmiah yang diakui organisasi profesi dan Instansi Pembina","6","Jurnal/Buku/Naskah"
"35","2B2","Membuat karya tulis/karya ilmiah hasil penelitian/pengkajian/ survei/evaluasi di bidang JF yang tidak dipublikasikan:","",""
"36","2B2a","dalam bentuk buku","8","Buku"
"37","2B2b","dalam bentuk majalah ilmiah","4","Naskah"
"38","2B3","Membuat karya tulis/karya ilmiah berupa tinjauan atau ulasan ilmiah hasil gagasan sendiri di bidang JF yang dipublikasikan:","",""
"39","2B3a","dalam bentuk buku yang diterbitkan dan diedarkan secara nasional","8","Buku"
"40","2B3b","dalam majalah ilmiah yang diakui organisasi profesi dan Instansi Pembina","4","Naskah"
"41","2B4","Membuat karya tulis/karya ilmiah berupa tinjauan atau ulasan ilmiah hasil gagasan sendiri di bidang JF yang tidak dipublikasikan:","",""
"42","2B4a","dalam bentuk buku","7","Buku"
"43","2B4b","dalam bentuk makalah","3.5","Naskah"
"44","2B5","Menyampaikan prasaran berupa tinjauan, gagasan dan atau ulasan ilmiah dalam pertemuan ilmiah","2.5","Naskah"
"45","2B6","Membuat artikel di bidang JF yang dipublikasikan","2","Artikel"
"46","2C","Penerjemahan/ Penyaduran Buku dan Bahan-Bahan Lain di bidang JF","",""
"47","2C1","Menerjemahkan/menyadur buku atau karya ilmiah di bidang JF yang dipublikasikan:","",""
"48","2C1a","dalam bentuk buku yang diterbitkan dan diedarkan secara nasional","7","Buku"
"49","2C1b","dalam majalah ilmiah yang diakui organisasi profesi dan Instansi Pembina","3.5","Naskah"
"50","2C2","Menerjemahkan / menyadur buku atau karya ilmiah di bidang JF yang tidak dipublikasikan:","",""
"51","2C2a","dalam bentuk buku","3","Buku"
"52","2C2b","dalam bentuk makalah","1.5","Naskah"
"53","2D","Penyusunan Standar/Pedoman/ Petunjuk Pelaksanaan/ Petunjuk Teknis di bidang JF","",""
"54","2D0","Membuat buku standar/pedoman/ petunjuk pelaksanaan/ petunjuk teknis di bidang JF","3","Buku"
"55","2E","Pengembangan Kompetensi di bidang JF","",""
"56","2E","maintain performance (pemeliharaan kinerja dan target kinerja)","0.5","Sertifikat/laporan"
"57","2E0","Mengikuti kegiatan pengembangan kompetensi:","",""
"58","2E01","pelatihan fungsional","0.5","Sertifikat/laporan"
