"no","kode_butir","nama_butir","ak","satuan"
"1","1","UNSUR UTAMA","",""
"2","11","Melakukan rekapitulasi data operasional karantina tumbuhan;","0.004","rekapitulasi data operasional karantina tumbuhan"
"3","12","Melakukan pengawasan lalulintas alat angkut","0.01","dokumen hasil pengawasan lalulintas alat angku"
"4","13","Melakukan Rekapitulasi data dasar","0.004","rekapitulasi data dasar karantina tumbuhan"
"5","14","Melakukan penumbuhan media pembawa OPTK dengan metode uji tumbuh (growing on test) di laboratorium dan/atau green house;","0.004","dokumen hasil penumbuhan media pembawa OPTK dengan metode uji tumbuh (growing on test) di laboratori"
"6","15","Melakukan penumbuhan dengan metode kertas saring/agar","0.004","dokumen hasil penumbuhan dengan metode kertas saring/agar"
"7","16","Melakukan pemeriksaan kelengkapan dokumen persyaratan karantina dan/atau pengawasan keamanan hayati;","0.001","dokumen hasil pemeriksaan kelengkapan dokumen persyaratan karantina dan/atau pengawasan keamanan hay"
"8","17","Melakukan perawatan. pengamanan MP OPTK dalam rangka pemeriksaan/penahanan.","0.004","dokumen hasil perawatan. pengamanan MP OPTK dalam rangka pemeriksaan/penahanan"
"9","18","Melakukan penyiapan tempat. alat. bahan pemusnahan MP OPTK dan/atau PSAT dan/atau IAS dan/atau Produk Rekayasa Genetika/agens hayati","0.008","dokumen hasil penyiapan tempat. alat. bahan pemusnahan MP OPTK dan/atau PSAT dan/atau IAS dan/atau P"
"10","19","Melakukan pemeliharaan alat pemeriksaan secara laboratoris/ visual.","0.005","dokumen hasil pemeliharaan alat pemeriksaan secara laboratoris/visual"
"11","2","PENGEMBANGAN PROFESI","",""
"12","2A","Perolehan ijazah/gelar pendidikan formal sesuai dengan bidang tugas JF","",""
"13","2A0","Memperoleh ijasah sesuai dengan bidang tugas JF","","Ijazah/Gelar"
"14","2B","Pembuatan Karya Tulis / Karya Ilmiah di bidang JF","",""
"15","2B1","Membuat karya tulis/karya ilmiah hasil penelitian/pengkajian/ survei/evaluasi di bidang JF yang dipublikasikan:","",""
"16","2B1a","Dalam buku/majalah ilmiah internasional yang terindek","20","Jurnal/Buku"
"17","2B1b","Dalam buku/majalah ilmiah nasional terakreditasi","12.5","Jurnal/Buku"
"18","2B1c","dalam buku/majalah ilmiah yang diakui organisasi profesi dan Instansi Pembina","6","Jurnal/Buku/Naskah"
"19","2B2","Membuat karya tulis/karya ilmiah hasil penelitian/pengkajian/ survei/evaluasi di bidang JF yang tidak dipublikasikan:","",""
"20","2B2a","dalam bentuk buku","8","Buku"
"21","2B2b","dalam bentuk majalah ilmiah","4","Naskah"
"22","2B3","Membuat karya tulis/karya ilmiah berupa tinjauan atau ulasan ilmiah hasil gagasan sendiri di bidang JF yang dipublikasikan:","",""
"23","2B3a","dalam bentuk buku yang diterbitkan dan diedarkan secara nasional","8","Buku"
"24","2B3b","dalam majalah ilmiah yang diakui organisasi profesi dan Instansi Pembina","4","Naskah"
"25","2B4","Membuat karya tulis/karya ilmiah berupa tinjauan atau ulasan ilmiah hasil gagasan sendiri di bidang JF yang tidak dipublikasikan:","",""
"26","2B4a","dalam bentuk buku","7","Buku"
"27","2B4b","dalam bentuk makalah","3.5","Naskah"
"28","2B5","Menyampaikan prasaran berupa tinjauan, gagasan dan atau ulasan ilmiah dalam pertemuan ilmiah","2.5","Naskah"
"29","2B6","Membuat artikel di bidang JF yang dipublikasikan","2","Artikel"
"30","2C","Penerjemahan/ Penyaduran Buku dan Bahan-Bahan Lain di bidang JF","",""
"31","2C1","Menerjemahkan/menyadur buku atau karya ilmiah di bidang JF yang dipublikasikan:","",""
"32","2C1a","dalam bentuk buku yang diterbitkan dan diedarkan secara nasional","7","Buku"
"33","2C1b","dalam majalah ilmiah yang diakui organisasi profesi dan Instansi Pembina","3.5","Naskah"
